depth,phi,theta
2396,18046,9085
2434,18070,8912
2457,18086,8751
2495,18096,8583
2382,18185,9083
2440,18206,8912
2471,18216,8752
2503,18223,8586
2426,18324,9081
2453,18341,8912
2489,18349,8754
2520,18350,8589
2050,18464,9079
2435,18476,8912
2497,18480,8755
2530,18477,8593
2458,18603,9077
1932,18611,8911
2518,18610,8757
2548,18606,8596
2478,18741,9074
2084,18746,8911
2343,18742,8759
2560,18732,8600
2481,18881,9072
2469,18881,8910
2007,18873,8760
2582,18861,8604
2427,19020,9069
2533,19016,8910
2031,19004,8761
2555,18988,8608
2536,19159,9067
2561,19151,8909
2110,19136,8763
2058,19115,8611
2561,19298,9064
2527,19286,8909
2592,19267,8765
2088,19243,8616
2583,19436,9061
2608,19421,8908
2640,19398,8767
2142,19370,8620
2609,19574,9058
2641,19556,8908
2613,19529,8768
2677,19497,8624
2654,19714,9055
2670,19690,8907
2692,19661,8770
2720,19625,8628
2682,19852,9051
2701,19826,8906
2736,19792,8772
2703,19753,8633
2658,19990,9048
2517,19960,8905
2765,19924,8774
2782,19881,8638
2520,20129,9045
2552,20094,8905
2785,20055,8776
2814,20008,8642
2553,20267,9041
2573,20230,8904
2611,20186,8778
2854,20136,8647
2576,20405,9037
2607,20364,8903
2594,20317,8780
2752,20264,8652
2609,20544,9033
2634,20498,8902
2659,20449,8782
2693,20391,8657
2641,20681,9029
2659,20634,8901
2702,20580,8784
2718,20520,8662
2974,20819,9025
2700,20768,8900
2737,20710,8786
2756,20647,8667
3042,20958,9022
2803,20902,8899
2768,20843,8788
2795,20775,8673
2802,21095,9017
3101,21037,8898
3134,20974,8790
3131,20904,8678
2714,21232,9013
3056,21171,8897
3201,21104,8792
3198,21032,8684
3263,21370,9009
2775,21305,8896
3217,21237,8795
3257,21159,8689
3334,21507,9004
2853,21439,8895
2882,21368,8797
3312,21289,8695
3314,21644,9000
3410,21574,8894
2887,21498,8799
3066,21417,8701
3227,21782,8995
3412,21707,8893
3475,21631,8801
2941,21544,8707
3278,21919,8991
3272,21843,8892
3526,21762,8804
3517,21674,8713
1788,22055,8986
3143,21976,8891
3367,21894,8806
3537,21802,8719
1758,22192,8981
3117,22110,8889
3421,22025,8808
3502,21930,8725
1714,22330,8977
0,22243,8888
3186,22156,8811
3459,22058,8731
1673,22466,8972
3218,22378,8887
3255,22287,8813
3253,22188,8737
2861,22603,8967
2961,22511,8886
3317,22419,8816
3370,22316,8744
2741,22739,8962
2798,22646,8885
3086,22550,8818
3311,22446,8750
2712,22875,8957
2718,22779,8884
2874,22682,8821
3103,22575,8757
2892,23012,8952
2692,22913,8882
2718,22813,8823
3087,22703,8763
2912,23148,8947
2718,23046,8881
2684,22944,8826
2748,22832,8770
2792,23283,8942
2859,23180,8880
2692,23075,8829
2671,22962,8777
2766,23418,8936
2803,23313,8879
2775,23208,8831
2672,23092,8784
0,23555,8932
2746,23448,8878
2766,23339,8834
2746,23221,8790
2764,23691,8927
2654,23581,8877
2711,23471,8837
2737,23350,8797
2869,23826,8921
2787,23713,8875
2635,23603,8840
2695,23481,8804
2806,23961,8916
2834,23846,8874
2712,23733,8842
0,23610,8811
4098,24095,8911
4258,23981,8873
2757,23865,8845
2707,23740,8818
3731,24230,8906
4134,24113,8872
4301,23997,8848
2740,23871,8825
3787,24365,8900
3712,24247,8871
4153,24130,8851
4321,24000,8833
3783,24501,8895
3732,24380,8869
3709,24261,8854
4134,24131,8840
3684,24635,8890
3796,24514,8869
3724,24392,8857
3710,24261,8847
3607,24769,8884
3693,24647,8867
3805,24525,8860
3727,24391,8854
3523,24903,8879
3607,24779,8866
3692,24655,8862
3791,24521,8861
2668,25038,8874
3521,24911,8865
3611,24787,8865
3684,24651,8868
2617,25171,8869
2673,25045,8864
3522,24920,8869
3588,24783,8876
2448,25306,8864
2555,25179,8863
2687,25052,8872
3502,24914,8883
3220,25439,8859
2446,25311,8862
2548,25183,8874
2678,25045,8891
2856,25574,8854
3123,25443,8861
2454,25315,8878
2617,25175,8898
2853,25707,8849
2868,25575,8860
2866,25447,8881
2446,25306,8905
2557,25839,8843
2855,25707,8859
2871,25579,8884
2795,25438,8913
3041,25972,8838
2560,25840,8858
2872,25710,8887
2882,25569,8920
3010,26106,8833
3025,25974,8857
2585,25843,8890
2897,25701,8928
2975,26238,8828
2976,26106,8857
2885,25974,8893
2669,25832,8935
2935,26372,8823
2935,26237,8855
2949,26107,8896
2720,25964,8942
2902,26504,8819
2900,26370,8855
2904,26239,8899
2904,26095,8950
2872,26636,8814
2863,26502,8854
2860,26370,8902
2855,26228,8957
2846,26767,8809
2832,26634,8853
2832,26503,8906
2818,26359,8965
2820,26900,8804
2793,26765,8852
2785,26635,8909
2769,26493,8972
2777,27033,8800
2766,26898,8852
2753,26768,8912
2739,26624,8979
2761,27165,8795
2739,27030,8851
2722,26900,8915
2697,26758,8987
2742,27296,8790
2713,27163,8851
2695,27032,8919
2664,26890,8994
2716,27428,8786
2697,27294,8850
2663,27163,8921
2633,27022,9001
2699,27558,8781
2667,27425,8849
2638,27296,8925
2606,27154,9008
2659,27690,8777
2642,27557,8849
2616,27428,8928
2579,27286,9016
2596,27822,8773
2623,27689,8849
2586,27562,8932
2547,27422,9023
2635,27952,8769
2610,27821,8848
2573,27693,8935
2525,27554,9030
2645,28083,8765
2600,27953,8848
2554,27827,8938
2509,27687,9037
2631,28214,8761
2583,28084,8848
2532,27959,8941
2486,27821,9045
2621,28344,8757
2569,28215,8847
2520,28091,8944
2469,27953,9051
2615,28474,8753
2555,28347,8847
2509,28223,8948
2447,28087,9058
2611,28604,8749
2544,28478,8847
2492,28356,8951
2416,28222,9066
2604,28736,8746
2533,28610,8847
2480,28490,8955
2406,28355,9072
2604,28866,8742
2532,28741,8847
2473,28622,8958
2395,28490,9079
2601,28995,8739
2525,28873,8847
2447,28754,8961
2385,28624,9086
2593,29126,8735
2524,29004,8847
2444,28886,8964
2381,28758,9093
2613,29254,8732
2525,29134,8847
2444,29018,8967
2368,28891,9099
2611,29383,8729
2532,29265,8847
2434,29152,8970
2362,29025,9106
2609,29513,8726
2528,29397,8847
2432,29285,8974
2356,29162,9112
2612,29643,8723
2528,29529,8848
2451,29418,8977
2347,29296,9119
2617,29773,8721
2530,29659,8848
2436,29552,8981
2353,29431,9125
2619,29902,8718
2530,29790,8848
2440,29684,8984
2351,29566,9131
2629,30029,8715
2537,29920,8849
2454,29816,8987
2353,29699,9137
2381,30159,8713
2539,30051,8849
2454,29949,8990
2358,29835,9144
2325,30287,8710
2394,30182,8850
2444,30081,8993
2360,29971,9150
2246,30417,8709
2327,30314,8851
2412,30216,8996
2360,30106,9155
2192,30546,8707
2241,30444,8851
2335,30349,9000
2362,30241,9161
2194,30674,8705
2184,30576,8852
2271,30482,9003
2348,30377,9167
2211,30802,8703
2131,30706,8853
2177,30614,9006
2286,30513,9173
2228,30931,8701
2127,30836,8854
2174,30748,9009
2209,30648,9178
2251,31059,8700
2177,30968,8855
2179,30881,9012
2233,30784,9184
2262,31186,8698
2164,31098,8855
2237,31015,9015
2337,30920,9189
2353,31315,8697
2552,31229,8857
2269,31148,9018
2352,31056,9194
2602,31443,8696
2691,31360,8858
2579,31282,9021
2455,31192,9199
2732,31571,8695
2734,31490,8859
2483,31415,9024
2470,31328,9204
2485,31698,8694
2532,31620,8860
2437,31548,9027
2356,31465,9210
2909,31826,8694
2782,31751,8861
2488,31680,9030
2323,31601,9214
2795,31953,8693
2810,31881,8863
2503,31815,9033
2349,31737,9219
2761,32082,8693
2811,32013,8864
2518,31949,9037
2366,31874,9224
2722,32209,8693
2783,32142,8866
2718,32082,9039
2388,32012,9228
2694,32336,8693
2746,32274,8867
2759,32215,9042
2519,32148,9232
2659,32465,8693
2712,32404,8869
