depth,phi,theta
8306,7280,5705
7979,7549,5706
9374,6863,5701
9104,7148,5708
8141,7410,5707
7940,7677,5704
8520,6998,5711
8343,7280,5714
8014,7539,5708
7268,7803,5701
9115,7132,5721
8210,7411,5720
7976,7668,5711
8975,7929,5699
8466,7268,5731
8072,7543,5725
7282,7797,5712
2084,8056,5696
8345,7403,5741
8040,7675,5731
7538,7926,5713
9001,8182,5693
8217,7538,5750
7346,7807,5737
2070,8056,5715
9012,8308,5690
8152,7674,5760
7536,7939,5742
8981,8184,5716
9000,8435,5688
7468,7810,5770
2061,8072,5748
8988,8313,5718
2102,8560,5685
8912,7945,5779
8952,8204,5753
8991,8442,5720
2093,8686,5682
2053,8082,5790
8968,8336,5759
2096,8571,5721
2028,8812,5680
7531,8218,5799
8968,8469,5764
2092,8699,5723
2041,8937,5677
7535,8354,5808
8972,8601,5769
2069,8829,5724
2050,9061,5674
8927,8491,5818
2091,8733,5775
2040,8957,5725
2060,9187,5672
8951,8627,5827
2082,8866,5780
2044,9085,5727
2064,9312,5669
8944,8764,5836
2077,8998,5785
2058,9215,5728
2072,9436,5666
2101,8901,5845
2023,9131,5790
2067,9343,5730
2078,9560,5664
2089,9038,5854
2046,9264,5796
2076,9471,5731
2087,9685,5661
2095,9175,5863
2058,9396,5801
2080,9600,5733
2110,9809,5659
2048,9313,5872
2064,9528,5806
2089,9728,5734
2127,9933,5656
2047,9450,5881
2069,9662,5811
2095,9857,5735
2141,10058,5654
2055,9587,5889
2081,9794,5816
2115,9985,5737
2149,10182,5651
2067,9725,5898
2091,9927,5820
2135,10113,5738
2167,10305,5649
2075,9862,5906
2100,10060,5825
2150,10241,5739
2179,10429,5647
2084,10000,5915
2130,10193,5830
2170,10370,5741
2197,10552,5644
2105,10138,5923
2147,10326,5835
2187,10498,5742
2222,10676,5642
2126,10276,5931
2161,10459,5839
2206,10626,5743
2245,10799,5640
2139,10413,5939
2181,10592,5844
2226,10755,5745
2270,10922,5638
2164,10552,5947
